Region,State,is_union_territory,Month,Quarter,Energy Requirement MU,Energy Availability MU,Energy_Deficit
South,Andaman Nicobar,1,Aug,Q3,33,31,2
Northeast,Arunachal Pradesh,0,Aug,Q3,83,83,0
Northeast,Assam,0,Aug,Q3,1345,1313,32
Northeast,Manipur,0,Aug,Q3,81,81,0
Northeast,Meghalaya,0,Aug,Q3,182,167,15
Northeast,Mizoram,0,Aug,Q3,53,53,0
Northeast,Nagaland,0,Aug,Q3,89,89,0
Northeast,Tripura,0,Aug,Q3,168,168,0
North,Chandigarh,1,Sep,Q3,194,194,0
North,Delhi,1,Sep,Q3,3743,3743,0
North,Haryana,0,Sep,Q3,6808,6752,56
North,Himachal Pradesh,0,Sep,Q3,1158,1156,2
North,UTs of J&K and Ladakh,1,Sep,Q3,1521,1476,45
North,Punjab,0,Sep,Q3,8006,8006,0
North,Rajasthan,0,Sep,Q3,9398,9283,115
North,Uttar Pradesh,0,Sep,Q3,14669,14656,13
North,Uttarakhand,0,Sep,Q3,1392,1381,11
Central,Chhattisgarh,0,Sep,Q3,3408,3397,11
West,Gujarat,0,Sep,Q3,12931,12907,24
Central,Madhya Pradesh,0,Sep,Q3,7699,7664,35
West,Maharashtra,0,Sep,Q3,15841,15819,22
West,Dadra & Nagar Haveli and Daman & Diu,1,Sep,Q3,792,792,0
West,Goa,0,Sep,Q3,412,412,0
South,Andhra Pradesh,0,Sep,Q3,6559,6559,0
South,Telangana,0,Sep,Q3,6725,6725,0
South,Karnataka,0,Sep,Q3,7008,7002,6
South,Kerala,0,Sep,Q3,2363,2363,0
South,Tamil Nadu,0,Sep,Q3,10245,10245,0
South,Puducherry,1,Sep,Q3,291,291,0
South,Lakshadweep,1,Sep,Q3,5,5,0
East,Bihar,0,Sep,Q3,4262,4167,95
East,Jharkhand,0,Sep,Q3,1232,1190,42
East,Odisha,0,Sep,Q3,3635,3634,1
East,West Bengal,0,Sep,Q3,6453,6446,7
Northeast,Sikkim,0,Sep,Q3,38,38,0
South,Andaman Nicobar,1,Sep,Q3,29,28,1
Northeast,Arunachal Pradesh,0,Sep,Q3,89,89,0
Northeast,Assam,0,Sep,Q3,1368,1333,35
Northeast,Manipur,0,Sep,Q3,79,79,0
Northeast,Meghalaya,0,Sep,Q3,165,157,8
Northeast,Mizoram,0,Sep,Q3,49,49,0
Northeast,Nagaland,0,Sep,Q3,86,86,0
Northeast,Tripura,0,Sep,Q3,173,173,0
North,Chandigarh,1,Oct,Q4,127,127,0
North,Delhi,1,Oct,Q4,2860,2859,1
North,Haryana,0,Oct,Q4,5356,5324,32
North,Himachal Pradesh,0,Oct,Q4,1156,1152,4
North,UTs of J&K and Ladakh,1,Oct,Q4,1540,1504,36
North,Punjab,0,Oct,Q4,5259,5259,0
North,Rajasthan,0,Oct,Q4,9166,9110,56
North,Uttar Pradesh,0,Oct,Q4,12240,12231,9
North,Uttarakhand,0,Oct,Q4,1239,1230,9
Central,Chhattisgarh,0,Oct,Q4,3364,3355,9
West,Gujarat,0,Oct,Q4,13094,13094,0
Central,Madhya Pradesh,0,Oct,Q4,9011,9011,0
West,Maharashtra,0,Oct,Q4,18056,18051,5
West,Dadra & Nagar Haveli and Daman & Diu,1,Oct,Q4,897,897,0
West,Goa,0,Oct,Q4,374,374,0
South,Andhra Pradesh,0,Oct,Q4,7284,7281,3
South,Telangana,0,Oct,Q4,8168,8166,2
South,Karnataka,0,Oct,Q4,7777,7706,71
South,Kerala,0,Oct,Q4,2471,2470,1
South,Tamil Nadu,0,Oct,Q4,10712,10709,3
South,Puducherry,1,Oct,Q4,305,305,0
South,Lakshadweep,1,Oct,Q4,5,5,0
East,Bihar,0,Oct,Q4,3466,3383,83
East,Jharkhand,0,Oct,Q4,1196,1156,40
East,Odisha,0,Oct,Q4,3693,3683,10
East,West Bengal,0,Oct,Q4,5980,5973,7
Northeast,Sikkim,0,Oct,Q4,31,31,0
South,Andaman Nicobar,1,Oct,Q4,32,31,1
Northeast,Arunachal Pradesh,0,Oct,Q4,92,92,0
Northeast,Assam,0,Oct,Q4,1097,1093,4
Northeast,Manipur,0,Oct,Q4,82,82,0
Northeast,Meghalaya,0,Oct,Q4,180,176,4
Northeast,Mizoram,0,Oct,Q4,53,53,0
Northeast,Nagaland,0,Oct,Q4,82,82,0
Northeast,Tripura,0,Oct,Q4,161,161,0
North,Chandigarh,1,Nov,Q4,102,102,0
North,Delhi,1,Nov,Q4,2117,2117,0
North,Haryana,0,Nov,Q4,3915,3915,0
North,Himachal Pradesh,0,Nov,Q4,989,986,3
North,UTs of J&K and Ladakh,1,Nov,Q4,1586,1568,18
North,Punjab,0,Nov,Q4,3842,3842,0
North,Rajasthan,0,Nov,Q4,8760,8759,1
North,Uttar Pradesh,0,Nov,Q4,9616,9580,36
North,Uttarakhand,0,Nov,Q4,1102,1099,3
Central,Chhattisgarh,0,Nov,Q4,2709,2709,0
West,Gujarat,0,Nov,Q4,10857,10857,0
Central,Madhya Pradesh,0,Nov,Q4,9007,9007,0
West,Maharashtra,0,Nov,Q4,16754,16754,0
West,Dadra & Nagar Haveli and Daman & Diu,1,Nov,Q4,800,800,0
